,sys/creation_time,sys/description,sys/hostname,sys/id,sys/modification_time,sys/name,sys/owner,sys/ping_time,sys/running_time,sys/size,sys/state,sys/tags,metrics/batch/accuracy,metrics/batch/loss,metrics/epoch/accuracy,metrics/epoch/loss,metrics/epoch/val_accuracy,metrics/epoch/val_loss,metrics/eval_accuracy,metrics/eval_loss,model/params/batch-size,model/params/dataset,model/params/epochs,model/params/loss-args,model/params/loss-kwargs,model/params/model,model/params/noise,model/params/noise-args,model/params/robust-method,model_summary,parameters/hyperparameters/dropout,parameters/hyperparameters/hidden_size_0,parameters/hyperparameters/hidden_size_1,parameters/hyperparameters/hidden_size_2,parameters/hyperparameters/num_layers,parameters/num-classes,parameters/num-features,source_code/entrypoint,source_code/git,monitoring/cpu,monitoring/gpu,monitoring/gpu_memory,monitoring/memory,monitoring/stdout
10,2021-04-05 05:16:18.357000+00:00,,meriadoc,LAB-449,2021-04-05 05:23:11.642000+00:00,synthetic-100-5-500K-uniform-[0.3],ygorcanalli,2021-04-05 05:23:10.434000+00:00,412.056,4809775.0,idle,hyperparameter-rerun,0.6193456649780273,1.0231654644012451,0.6193456649780273,1.0231654644012451,0.6466500163078308,0.9848200082778931,0.9152399897575378,0.4661101996898651,32.0,synthetic-100-5-500K,20.0,None,None,simple-mlp,uniform,0.3,boot-hard,_________________________________________________________________,0.06511415420278266,38.0,95.0,9.0,3.0,5.0,100.0,main.py,0f0b3e1dca1ee35dbc055f5a45002c97adf5a273,19.4,9.0,5.6651611328125,11.632305145263672,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-449
"
11,2021-04-04 17:31:11.477000+00:00,,meriadoc,LAB-413,2021-04-04 17:32:53.979000+00:00,synthetic-80-5-200K-uniform-[0.3],ygorcanalli,2021-04-04 17:32:44.730000+00:00,93.248,1926323.0,idle,hyperparameter-rerun,0.6203906536102295,1.018588662147522,0.6203906536102295,1.018588662147522,0.6240000128746033,1.0217087268829346,0.8740749955177307,0.49045097827911377,32.0,synthetic-80-5-200K,20.0,None,None,simple-mlp,uniform,0.3,boot-hard,_________________________________________________________________,0.015256373949917235,42.0,31.0,59.0,3.0,5.0,80.0,main.py,0f0b3e1dca1ee35dbc055f5a45002c97adf5a273,21.0,,,6.734317779541016,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-413
"
12,2021-04-04 17:07:54.596000+00:00,,meriadoc,LAB-402,2021-04-04 17:09:01.759000+00:00,synthetic-80-5-200K-uniform-[0.25],ygorcanalli,2021-04-04 17:08:36.431000+00:00,41.834,1925849.0,idle,hyperparameter-rerun,0.6402265429496765,1.1160718202590942,0.6402265429496765,1.1160718202590942,0.6553750038146973,1.1054091453552246,0.8691999912261963,0.6243326663970947,32.0,synthetic-80-5-200K,20.0,None,None,simple-mlp,uniform,0.25,none,_________________________________________________________________,0.042792853656392585,49.0,33.0,,2.0,5.0,80.0,main.py,0f0b3e1dca1ee35dbc055f5a45002c97adf5a273,33.8,,,9.578567504882812,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-402
"
13,2021-04-04 16:50:33.961000+00:00,,meriadoc,LAB-386,2021-04-04 16:51:46.197000+00:00,synthetic-80-5-200K-uniform-[0.0],ygorcanalli,2021-04-04 16:51:26.009000+00:00,52.045,1925899.0,idle,hyperparameter-rerun,0.9112421870231628,0.25005409121513367,0.9112421870231628,0.25005409121513367,0.9290000200271606,0.2065352499485016,0.928974986076355,0.2049688696861267,32.0,synthetic-80-5-200K,20.0,None,None,simple-mlp,uniform,0.0,boot-hard,_________________________________________________________________,0.023636697398932396,56.0,108.0,,2.0,5.0,80.0,main.py,0f0b3e1dca1ee35dbc055f5a45002c97adf5a273,31.7,,,8.760494232177734,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-386
"
14,2021-04-04 17:10:15.903000+00:00,,meriadoc,LAB-406,2021-04-04 17:11:19.065000+00:00,synthetic-80-5-200K-uniform-[0.25],ygorcanalli,2021-04-04 17:11:07.952000+00:00,52.047,1925897.0,idle,hyperparameter-rerun,0.6448671817779541,0.9811702966690063,0.6448671817779541,0.9811702966690063,0.6577500104904175,0.9691241383552551,0.8712999820709229,0.5150700211524963,32.0,synthetic-80-5-200K,20.0,None,None,simple-mlp,uniform,0.25,boot-hard,_________________________________________________________________,0.042792853656392585,49.0,33.0,,2.0,5.0,80.0,main.py,0f0b3e1dca1ee35dbc055f5a45002c97adf5a273,21.4,,,9.581275939941406,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-406
"
15,2021-04-02 22:27:45.086000+00:00,,meriadoc,LAB-354,2021-04-02 22:27:59.076000+00:00,synthetic-50-2-100K-uniform-[0.15],ygorcanalli,2021-04-02 22:27:56.142000+00:00,11.056,245074.0,idle,hyperparameter-rerun,0.7558749914169312,0.5307440161705017,0.7558749914169312,0.5307440161705017,0.796625018119812,0.4951850175857544,0.9142000079154968,0.3442121148109436,128.0,synthetic-50-2-100K,20.0,None,None,simple-mlp,uniform,0.15,boot-soft,_________________________________________________________________,0.17469943529651233,44.0,18.0,118.0,3.0,2.0,50.0,main.py,877f5f997285690780c2e680ad9997a98baaf159,24.5,,,9.745159149169922,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-354
"
16,2021-04-05 01:27:48.904000+00:00,,meriadoc,LAB-437,2021-04-05 01:33:01.666000+00:00,synthetic-100-5-500K-uniform-[0.2],ygorcanalli,2021-04-05 01:32:57.587000+00:00,308.669,4808844.0,idle,hyperparameter-rerun,0.6404613852500916,1.0740437507629395,0.6404613852500916,1.0740437507629395,0.7247999906539917,0.9358295202255249,0.8951900005340576,0.4957708716392517,32.0,synthetic-100-5-500K,20.0,None,None,simple-mlp,uniform,0.2,none,_________________________________________________________________,0.1803702866125946,54.0,36.0,28.0,3.0,5.0,100.0,main.py,0f0b3e1dca1ee35dbc055f5a45002c97adf5a273,25.4,9.0,5.62030029296875,13.612434387207031,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-437
"
17,2021-04-02 22:37:26.542000+00:00,,meriadoc,LAB-369,2021-04-02 22:37:39.697000+00:00,synthetic-50-2-100K-uniform-[0.3],ygorcanalli,2021-04-02 22:37:37.517000+00:00,10.974,244885.0,idle,hyperparameter-rerun,0.6273906230926514,0.6522064805030823,0.6273906230926514,0.6522064805030823,0.6389999985694885,0.6481985449790955,0.8479999899864197,0.5181257724761963,128.0,synthetic-50-2-100K,20.0,None,None,simple-mlp,uniform,0.3,boot-soft,_________________________________________________________________,0.19427086695213816,9.0,39.0,,2.0,2.0,50.0,main.py,877f5f997285690780c2e680ad9997a98baaf159,25.0,,,10.189029693603516,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-369
"
18,2021-04-04 16:58:14.918000+00:00,,meriadoc,LAB-392,2021-04-04 16:59:23.923000+00:00,synthetic-80-5-200K-uniform-[0.15],ygorcanalli,2021-04-04 16:58:56.711000+00:00,41.792,1926037.0,idle,hyperparameter-rerun,0.7096953392028809,0.9211181402206421,0.7096953392028809,0.9211181402206421,0.7600625157356262,0.8343138098716736,0.8880000114440918,0.4701329469680786,32.0,synthetic-80-5-200K,20.0,None,None,simple-mlp,uniform,0.15,none,_________________________________________________________________,0.09492830740244246,78.0,45.0,15.0,3.0,5.0,80.0,main.py,0f0b3e1dca1ee35dbc055f5a45002c97adf5a273,34.9,,,9.571842193603516,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-392
"
19,2021-04-05 00:27:43.351000+00:00,,meriadoc,LAB-432,2021-04-05 00:32:44.677000+00:00,synthetic-100-5-500K-uniform-[0.15],ygorcanalli,2021-04-05 00:32:41.798000+00:00,298.431,4808564.0,idle,hyperparameter-rerun,0.7269303798675537,0.895607590675354,0.7269303798675537,0.895607590675354,0.7860124707221985,0.8011690974235535,0.9200699925422668,0.38884398341178894,32.0,synthetic-100-5-500K,20.0,None,None,simple-mlp,uniform,0.15,none,_________________________________________________________________,0.11159796039782065,124.0,46.0,,2.0,5.0,100.0,main.py,0f0b3e1dca1ee35dbc055f5a45002c97adf5a273,28.3,8.0,5.61962890625,13.271110534667969,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-432
"
20,2021-04-05 00:49:16.900000+00:00,,meriadoc,LAB-436,2021-04-05 00:54:01.656000+00:00,synthetic-100-5-500K-uniform-[0.15],ygorcanalli,2021-04-05 00:53:54.857000+00:00,277.943,4808372.0,idle,hyperparameter-rerun,0.7181803584098816,0.433402955532074,0.7181803584098816,0.433402955532074,0.7725874781608582,0.31122198700904846,0.9021400213241577,-0.8023400902748108,32.0,synthetic-100-5-500K,20.0,"[[[0.85, 0.0375, 0.0375, 0.0375, 0.0375], [0.0375, 0.85, 0.0375, 0.0375, 0.0375], [0.0375, 0.0375, 0.85, 0.0375, 0.0375], [0.0375, 0.0375, 0.0375, 0.85, 0.0375], [0.0375, 0.0375, 0.0375, 0.0375, 0.85]]]",None,simple-mlp,uniform,0.15,backward,_________________________________________________________________,0.11159796039782065,124.0,46.0,,2.0,5.0,100.0,main.py,0f0b3e1dca1ee35dbc055f5a45002c97adf5a273,27.8,6.0,5.6201171875,13.171550750732422,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-436
"
21,2021-04-02 22:21:42.550000+00:00,,meriadoc,LAB-346,2021-04-02 22:21:56.490000+00:00,synthetic-50-2-100K-uniform-[0.05],ygorcanalli,2021-04-02 22:21:53.710000+00:00,11.159,244888.0,idle,hyperparameter-rerun,0.8531249761581421,0.36657682061195374,0.8531249761581421,0.36657682061195374,0.8921874761581421,0.304433673620224,0.9333000183105469,0.20684538781642914,128.0,synthetic-50-2-100K,20.0,"[[[0.95, 0.05], [0.05, 0.95]]]",None,simple-mlp,uniform,0.05,forward,_________________________________________________________________,0.12188035414808807,14.0,71.0,,2.0,2.0,50.0,main.py,877f5f997285690780c2e680ad9997a98baaf159,22.7,,,9.093746185302734,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-346
"
22,2021-04-05 00:43:56.142000+00:00,,meriadoc,LAB-435,2021-04-05 00:49:12.689000+00:00,synthetic-100-5-500K-uniform-[0.15],ygorcanalli,2021-04-05 00:49:04.897000+00:00,308.743,4808660.0,idle,hyperparameter-rerun,0.7292273044586182,0.8677668571472168,0.7292273044586182,0.8677668571472168,0.783424973487854,0.7685945630073547,0.917639970779419,0.3738490641117096,32.0,synthetic-100-5-500K,20.0,"[[[0.85, 0.0375, 0.0375, 0.0375, 0.0375], [0.0375, 0.85, 0.0375, 0.0375, 0.0375], [0.0375, 0.0375, 0.85, 0.0375, 0.0375], [0.0375, 0.0375, 0.0375, 0.85, 0.0375], [0.0375, 0.0375, 0.0375, 0.0375, 0.85]]]",None,simple-mlp,uniform,0.15,forward,_________________________________________________________________,0.11159796039782065,124.0,46.0,,2.0,5.0,100.0,main.py,0f0b3e1dca1ee35dbc055f5a45002c97adf5a273,26.2,11.0,5.61956787109375,12.958450317382812,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-435
"
23,2021-04-05 05:09:17.244000+00:00,,meriadoc,LAB-448,2021-04-05 05:16:14.432000+00:00,synthetic-100-5-500K-uniform-[0.3],ygorcanalli,2021-04-05 05:16:09.027000+00:00,411.76,4809775.0,idle,hyperparameter-rerun,0.6164644360542297,1.1688268184661865,0.6164644360542297,1.1688268184661865,0.6440874934196472,1.1339324712753296,0.9117100238800049,0.5640652179718018,32.0,synthetic-100-5-500K,20.0,None,None,simple-mlp,uniform,0.3,boot-soft,_________________________________________________________________,0.06511415420278266,38.0,95.0,9.0,3.0,5.0,100.0,main.py,0f0b3e1dca1ee35dbc055f5a45002c97adf5a273,19.7,7.0,5.6656494140625,11.19439697265625,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-448
"
24,2021-04-04 21:44:28.744000+00:00,,meriadoc,LAB-418,2021-04-04 21:48:43.023000+00:00,synthetic-100-5-500K-uniform-[0.0],ygorcanalli,2021-04-04 21:48:35.931000+00:00,247.175,4808082.0,idle,hyperparameter-rerun,0.9345060586929321,0.22670146822929382,0.9345060586929321,0.22670146822929382,0.949150025844574,0.18810153007507324,0.9484000205993652,0.1916763037443161,32.0,synthetic-100-5-500K,20.0,None,None,simple-mlp,uniform,0.0,boot-soft,_________________________________________________________________,0.01588930401726807,47.0,27.0,,2.0,5.0,100.0,main.py,0f0b3e1dca1ee35dbc055f5a45002c97adf5a273,31.0,16.0,5.705810546875,10.146110534667969,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-418
"
25,2021-04-04 16:53:04.294000+00:00,,meriadoc,LAB-390,2021-04-04 16:54:18.133000+00:00,synthetic-80-5-200K-uniform-[0.0],ygorcanalli,2021-04-04 16:53:46.325000+00:00,42.029,1925899.0,idle,hyperparameter-rerun,0.9093281030654907,0.2895154058933258,0.9093281030654907,0.2895154058933258,0.9254687428474426,0.24228715896606445,0.9244750142097473,0.24424362182617188,32.0,synthetic-80-5-200K,20.0,"[[[1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0], [0.0, 0.0, 0.0, 0.0, 1.0]]]",None,simple-mlp,uniform,0.0,backward,_________________________________________________________________,0.023636697398932396,56.0,108.0,,2.0,5.0,80.0,main.py,0f0b3e1dca1ee35dbc055f5a45002c97adf5a273,23.0,,,8.767383575439453,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-390
"
26,2021-04-02 22:28:35.331000+00:00,,meriadoc,LAB-357,2021-04-02 22:28:48.634000+00:00,synthetic-50-2-100K-uniform-[0.15],ygorcanalli,2021-04-02 22:28:46.560000+00:00,11.229,245074.0,idle,hyperparameter-rerun,0.7498281002044678,0.3007054626941681,0.7498281002044678,0.3007054626941681,0.7903749942779541,0.2072480320930481,0.9028000235557556,-0.5665576457977295,128.0,synthetic-50-2-100K,20.0,"[[[0.85, 0.15], [0.15, 0.85]]]",None,simple-mlp,uniform,0.15,backward,_________________________________________________________________,0.17469943529651233,44.0,18.0,118.0,3.0,2.0,50.0,main.py,877f5f997285690780c2e680ad9997a98baaf159,26.3,,,9.776931762695312,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-357
"
27,2021-04-05 03:58:33.070000+00:00,,meriadoc,LAB-444,2021-04-05 04:04:58.798000+00:00,synthetic-100-5-500K-uniform-[0.25],ygorcanalli,2021-04-05 04:04:54.122000+00:00,381.033,4809303.0,idle,hyperparameter-rerun,0.678155243396759,0.9234866499900818,0.678155243396759,0.9234866499900818,0.6970000267028809,0.9068806767463684,0.9231799840927124,0.3977194130420685,32.0,synthetic-100-5-500K,20.0,None,None,simple-mlp,uniform,0.25,boot-hard,_________________________________________________________________,0.039681913167957245,115.0,57.0,,2.0,5.0,100.0,main.py,0f0b3e1dca1ee35dbc055f5a45002c97adf5a273,19.4,13.0,5.70526123046875,10.13217544555664,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-444
"
28,2021-04-04 22:41:26.409000+00:00,,meriadoc,LAB-425,2021-04-04 22:46:43.744000+00:00,synthetic-100-5-500K-uniform-[0.05],ygorcanalli,2021-04-04 22:46:35.154000+00:00,308.73,4808846.0,idle,hyperparameter-rerun,0.8976497054100037,0.40462470054626465,0.8976497054100037,0.40462470054626465,0.90482497215271,0.38865068554878235,0.9517800211906433,0.1876697838306427,32.0,synthetic-100-5-500K,20.0,"[[[0.95, 0.0125, 0.0125, 0.0125, 0.0125], [0.0125, 0.95, 0.0125, 0.0125, 0.0125], [0.0125, 0.0125, 0.95, 0.0125, 0.0125], [0.0125, 0.0125, 0.0125, 0.95, 0.0125], [0.0125, 0.0125, 0.0125, 0.0125, 0.95]]]",None,simple-mlp,uniform,0.05,forward,_________________________________________________________________,0.011758307824899263,92.0,55.0,24.0,3.0,5.0,100.0,main.py,0f0b3e1dca1ee35dbc055f5a45002c97adf5a273,25.7,13.0,5.67132568359375,11.645191192626953,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-425
"
29,2021-04-04 23:24:34.024000+00:00,,meriadoc,LAB-427,2021-04-04 23:29:48.313000+00:00,synthetic-100-5-500K-uniform-[0.1],ygorcanalli,2021-04-04 23:29:42.622000+00:00,308.584,4808846.0,idle,hyperparameter-rerun,0.8373807668685913,0.6235003471374512,0.8373807668685913,0.6235003471374512,0.854449987411499,0.5922534465789795,0.9453200101852417,0.26496589183807373,32.0,synthetic-100-5-500K,20.0,None,None,simple-mlp,uniform,0.1,none,_________________________________________________________________,0.023763754280857197,96.0,70.0,24.0,3.0,5.0,100.0,main.py,0f0b3e1dca1ee35dbc055f5a45002c97adf5a273,25.2,10.0,5.6171875,12.108345031738281,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-427
"
30,2021-04-04 16:59:26.953000+00:00,,meriadoc,LAB-394,2021-04-04 17:00:30.022000+00:00,synthetic-80-5-200K-uniform-[0.15],ygorcanalli,2021-04-04 17:00:08.843000+00:00,41.888,1926037.0,idle,hyperparameter-rerun,0.7060624957084656,0.9250312447547913,0.7060624957084656,0.9250312447547913,0.7575937509536743,0.8384418487548828,0.8804000020027161,0.4735693335533142,32.0,synthetic-80-5-200K,20.0,None,None,simple-mlp,uniform,0.15,boot-soft,_________________________________________________________________,0.09492830740244246,78.0,45.0,15.0,3.0,5.0,80.0,main.py,0f0b3e1dca1ee35dbc055f5a45002c97adf5a273,35.6,,,9.096786499023438,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-394
"
31,2021-04-02 22:24:22.786000+00:00,,meriadoc,LAB-349,2021-04-02 22:24:36.871000+00:00,synthetic-50-2-100K-uniform-[0.1],ygorcanalli,2021-04-02 22:24:34.031000+00:00,11.244,245074.0,idle,hyperparameter-rerun,0.8589218854904175,0.38712066411972046,0.8589218854904175,0.38712066411972046,0.8630625009536743,0.3865063786506653,0.9523000121116638,0.2106533646583557,128.0,synthetic-50-2-100K,20.0,None,None,simple-mlp,uniform,0.1,boot-soft,_________________________________________________________________,0.006619230246442221,23.0,86.0,16.0,3.0,2.0,50.0,main.py,877f5f997285690780c2e680ad9997a98baaf159,22.2,,,9.492496490478516,"https://ui.neptune.ai/ygorcanalli/LabelNoise/e/LAB-349
"
